Meadow,Site,MS,Elevation,Species1,Species2,Schoener,DipteraVsPlants
a,3,a3,949.8,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.125628141,x
n,5,n5,1398.6,ProportionAllium carinatum,ProportionZDensityDipteraTOTAL,0.126564851,x
i,7,i7,648.5,ProportionViola sp#,ProportionZDensityDipteraTOTAL,0.129473684,x
i,4,i4,702.4,ProportionTrifolium campestre,ProportionZDensityDipteraTOTAL,0.129505225,x
i,1,i1,766.3,ProportionPotentilla erecta,ProportionZDensityDipteraTOTAL,0.13020493,x
a,4,a4,1002.8,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.130358698,x
i,6,i6,702.2,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.131366434,x
i,7,i7,648.5,ProportionVicia cracca,ProportionZDensityDipteraTOTAL,0.131578947,x
a,4,a4,1002.8,ProportionCentaurium sp#,ProportionZDensityDipteraTOTAL,0.131880395,x
a,4,a4,1002.8,ProportionPeucedanum sp#,ProportionZDensityDipteraTOTAL,0.131880395,x
i,6,i6,702.2,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.132518771,x
a,1,a1,1020.6,ProportionConyza sp#,ProportionZDensityDipteraTOTAL,0.132679463,x
a,1,a1,1020.6,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.132679463,x
i,3,i3,711.5,ProportionRosa sp#,ProportionZDensityDipteraTOTAL,0.133297629,x
a,1,a1,1020.6,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.133582045,x
a,1,a1,1020.6,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.133582045,x
i,2,i2,737.4,ProportionOdontites luteus,ProportionZDensityDipteraTOTAL,0.134378499,x
a,2,a2,984.9,ProportionParnassia palustris,ProportionZDensityDipteraTOTAL,0.13441808,x
n,4,n4,1420,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.13536379,x
n,4,n4,1420,ProportionGentiana sp#,ProportionZDensityDipteraTOTAL,0.13536379,x
n,4,n4,1420,ProportionGeranium pusillum,ProportionZDensityDipteraTOTAL,0.13536379,x
n,4,n4,1420,ProportionSilene nutans,ProportionZDensityDipteraTOTAL,0.13536379,x
n,4,n4,1420,ProportionViola sp#,ProportionZDensityDipteraTOTAL,0.13536379,x
i,7,i7,648.5,ProportionCirsium arvense,ProportionZDensityDipteraTOTAL,0.136842105,x
i,7,i7,648.5,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.136842105,x
a,6,a6,981.9,ProportionAnthericum ramosum,ProportionZDensityDipteraTOTAL,0.137028015,x
i,6,i6,702.2,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.138280457,x
o,4,o4,1576.2,ProportionVeronica officinalis,ProportionZDensityDipteraTOTAL,0.14066026,x
u,1,u1,1745.8,ProportionLamium album,ProportionZDensityDipteraTOTAL,0.14221861,x
u,1,u1,1745.8,ProportionSilene nutans,ProportionZDensityDipteraTOTAL,0.14221861,x
n,1,n1,1390.3,ProportionSilene nutans,ProportionZDensityDipteraTOTAL,0.142326305,x
i,6,i6,702.2,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.146922985,x
i,6,i6,702.2,ProportionSanguisorba minor,ProportionZDensityDipteraTOTAL,0.146922985,x
i,6,i6,702.2,ProportionVicia sepium,ProportionZDensityDipteraTOTAL,0.146922985,x
a,2,a2,984.9,ProportionPlantago major,ProportionZDensityDipteraTOTAL,0.148389852,x
a,2,a2,984.9,ProportionPlanthera bifolia,ProportionZDensityDipteraTOTAL,0.148389852,x
a,2,a2,984.9,ProportionRubus sp#,ProportionZDensityDipteraTOTAL,0.148389852,x
a,2,a2,984.9,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.148389852,x
a,2,a2,984.9,ProportionVincetoxicum hirundinaria,ProportionZDensityDipteraTOTAL,0.148389852,x
a,4,a4,1002.8,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.150013949,x
a,4,a4,1002.8,ProportionRosa sp#,ProportionZDensityDipteraTOTAL,0.150013949,x
a,4,a4,1002.8,ProportionVeronica sp#,ProportionZDensityDipteraTOTAL,0.150013949,x
a,2,a2,984.9,ProportionPolygala vulgaris,ProportionZDensityDipteraTOTAL,0.151762348,x
i,6,i6,702.2,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.152044484,x
i,1,i1,766.3,ProportionOdontites luteus,ProportionZDensityDipteraTOTAL,0.152361152,x
i,1,i1,766.3,ProportionVeronica chamaedris,ProportionZDensityDipteraTOTAL,0.152361152,x
i,1,i1,766.3,ProportionViola sp#,ProportionZDensityDipteraTOTAL,0.152361152,x
u,2,u2,1749.2,ProportionCuscuta europaeae,ProportionZDensityDipteraTOTAL,0.153859967,x
u,2,u2,1749.2,ProportionTrifolium campestre,ProportionZDensityDipteraTOTAL,0.153859967,x
a,4,a4,1002.8,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.15386046,x
a,3,a3,949.8,ProportionCarum carvi,ProportionZDensityDipteraTOTAL,0.154170854,x
u,2,u2,1749.2,ProportionPhyteuma orbiculare,ProportionZDensityDipteraTOTAL,0.155152908,x
u,1,u1,1745.8,ProportionPhyteuma orbiculare,ProportionZDensityDipteraTOTAL,0.156440471,x
u,1,u1,1745.8,ProportionPlantago major,ProportionZDensityDipteraTOTAL,0.156440471,x
a,5,a5,1001,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.157342228,x
n,2,n2,1405.5,ProportionAsperula cynanchica,ProportionZDensityDipteraTOTAL,0.157546772,x
n,2,n2,1405.5,ProportionDaucus carota,ProportionZDensityDipteraTOTAL,0.157546772,x
n,2,n2,1405.5,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.157546772,x
n,5,n5,1398.6,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.158919036,x
i,3,i3,711.5,ProportionEchium vulgare,ProportionZDensityDipteraTOTAL,0.160512561,x
i,3,i3,711.5,ProportionSedum album,ProportionZDensityDipteraTOTAL,0.160512561,x
i,2,i2,737.4,ProportionParnassia palustris,ProportionZDensityDipteraTOTAL,0.161503048,x
u,2,u2,1749.2,ProportionRhinanthus minor,ProportionZDensityDipteraTOTAL,0.164041877,x
a,1,a1,1020.6,ProportionVicia sepium,ProportionZDensityDipteraTOTAL,0.164269812,x
a,6,a6,981.9,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.166260658,x
a,2,a2,984.9,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.166938583,x
o,3,o3,1612.7,ProportionViola sp#,ProportionZDensityDipteraTOTAL,0.167725643,x
i,4,i4,702.4,ProportionChenopodium sp#,ProportionZDensityDipteraTOTAL,0.167946257,x
i,4,i4,702.4,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.167946257,x
a,5,a5,1001,ProportionApiaceae sp#,ProportionZDensityDipteraTOTAL,0.167962675,x
n,2,n2,1405.5,ProportionSilene dioica,ProportionZDensityDipteraTOTAL,0.16936278,x
n,2,n2,1405.5,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.16936278,x
n,4,n4,1420,ProportionSolanum dulgamara,ProportionZDensityDipteraTOTAL,0.172927242,x
n,4,n4,1420,ProportionVeronica officinalis,ProportionZDensityDipteraTOTAL,0.172927242,x
n,1,n1,1390.3,ProportionPeucedanum sp#,ProportionZDensityDipteraTOTAL,0.174889166,x
n,4,n4,1420,ProportionEpilobium sp#,ProportionZDensityDipteraTOTAL,0.175888325,x
i,1,i1,766.3,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.176418176,x
i,6,i6,702.2,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.177535292,x
a,1,a1,1020.6,ProportionRosa sp#,ProportionZDensityDipteraTOTAL,0.178686527,x
a,4,a4,1002.8,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.179813846,x
a,4,a4,1002.8,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.179813846,x
a,4,a4,1002.8,ProportionSedum sp# yellow,ProportionZDensityDipteraTOTAL,0.179813846,x
a,3,a3,949.8,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.180904523,x
a,3,a3,949.8,ProportionPolygonum aviculare,ProportionZDensityDipteraTOTAL,0.180904523,x
a,1,a1,1020.6,ProportionStachys officinalis,ProportionZDensityDipteraTOTAL,0.181117997,x
u,1,u1,1745.8,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.182039821,x
u,1,u1,1745.8,ProportionGentiana sp#,ProportionZDensityDipteraTOTAL,0.182039821,x
u,1,u1,1745.8,ProportionVicia cracca,ProportionZDensityDipteraTOTAL,0.182039821,x
a,4,a4,1002.8,ProportionRubus sp#,ProportionZDensityDipteraTOTAL,0.182272013,x
i,4,i4,702.4,ProportionAnthyllis vulneraria,ProportionZDensityDipteraTOTAL,0.182288334,x
o,3,o3,1612.7,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.18374874,x
n,1,n1,1390.3,ProportionRubus sp#,ProportionZDensityDipteraTOTAL,0.185506708,x
o,4,o4,1576.2,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.186733485,x
i,3,i3,711.5,ProportionGeranium pusillum,ProportionZDensityDipteraTOTAL,0.187562338,x
i,2,i2,737.4,ProportionAster amellus,ProportionZDensityDipteraTOTAL,0.188329156,x
n,3,n3,1407.7,ProportionOnonis spinosa,ProportionZDensityDipteraTOTAL,0.188715953,x
i,2,i2,737.4,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.193169093,x
a,1,a1,1020.6,ProportionLotus maritimus,ProportionZDensityDipteraTOTAL,0.193754137,x
i,3,i3,711.5,ProportionAnthyllis vulneraria,ProportionZDensityDipteraTOTAL,0.200779553,x
a,3,a3,949.8,ProportionApiaceae sp#,ProportionZDensityDipteraTOTAL,0.201005025,x
a,3,a3,949.8,ProportionLigustrum vulgare,ProportionZDensityDipteraTOTAL,0.201005025,x
a,3,a3,949.8,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.201005025,x
n,4,n4,1420,ProportionBuphthalmum salicifolium,ProportionZDensityDipteraTOTAL,0.201353638,x
a,3,a3,949.8,ProportionAnthericum ramosum,ProportionZDensityDipteraTOTAL,0.20201005,x
i,1,i1,766.3,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.205157905,x
n,5,n5,1398.6,ProportionEpilobium sp#,ProportionZDensityDipteraTOTAL,0.20710612,x
n,5,n5,1398.6,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.20710612,x
i,6,i6,702.2,ProportionAcinos alpinus,ProportionZDensityDipteraTOTAL,0.209149191,x
i,7,i7,648.5,ProportionEuphrasia sp,ProportionZDensityDipteraTOTAL,0.20979405,x
n,2,n2,1405.5,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.211703474,x
i,1,i1,766.3,ProportionGeranium sanguineum?,ProportionZDensityDipteraTOTAL,0.211776062,x
n,1,n1,1390.3,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.211986867,x
i,3,i3,711.5,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.2139903,x
i,7,i7,648.5,ProportionGlobularia nudicaulis,ProportionZDensityDipteraTOTAL,0.214883041,x
u,1,u1,1745.8,ProportionLotus corniculatus,ProportionZDensityDipteraTOTAL,0.218755888,x
i,7,i7,648.5,ProportionThesium sp#,ProportionZDensityDipteraTOTAL,0.222368421,x
i,3,i3,711.5,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.222708203,x
i,4,i4,702.4,ProportionAsperula cynanchica,ProportionZDensityDipteraTOTAL,0.22393319,x
a,1,a1,1020.6,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.224491136,x
n,2,n2,1405.5,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.225114849,x
a,3,a3,949.8,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.226130653,x
i,3,i3,711.5,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.22714579,x
i,5,i5,684.5,ProportionBuphthalmum salicifolium,ProportionZDensityDipteraTOTAL,0.229782057,x
i,7,i7,648.5,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.230526316,x
i,5,i5,684.5,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.230564595,x
o,3,o3,1612.7,ProportionVeronica officinalis,ProportionZDensityDipteraTOTAL,0.230589124,x
a,4,a4,1002.8,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.232276663,x
n,2,n2,1405.5,ProportionAegopodium podagraria,ProportionZDensityDipteraTOTAL,0.232381488,x
a,2,a2,984.9,ProportionArenaria/Linum ym#,ProportionZDensityDipteraTOTAL,0.233915147,x
n,1,n1,1390.3,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.234604778,x
a,1,a1,1020.6,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.23467116,x
a,1,a1,1020.6,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.23467116,x
a,3,a3,949.8,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.235175879,x
u,2,u2,1749.2,ProportionGentiana sp#,ProportionZDensityDipteraTOTAL,0.235315244,x
i,5,i5,684.5,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.235550171,x
o,4,o4,1576.2,ProportionCampanula glomerata,ProportionZDensityDipteraTOTAL,0.236318806,x
n,3,n3,1407.7,ProportionPimpinella sp#,ProportionZDensityDipteraTOTAL,0.236705577,x
i,4,i4,702.4,ProportionDianthus sp#,ProportionZDensityDipteraTOTAL,0.23699083,x
i,1,i1,766.3,ProportionPlantago media,ProportionZDensityDipteraTOTAL,0.238194238,x
i,2,i2,737.4,ProportionSanguisorba minor,ProportionZDensityDipteraTOTAL,0.238623638,x
i,6,i6,702.2,ProportionPotentilla erecta,ProportionZDensityDipteraTOTAL,0.242753581,x
a,5,a5,1001,ProportionRubus sp#,ProportionZDensityDipteraTOTAL,0.242926786,x
i,6,i6,702.2,ProportionCarlina acaulis,ProportionZDensityDipteraTOTAL,0.244130854,x
a,2,a2,984.9,ProportionTeurium montanum,ProportionZDensityDipteraTOTAL,0.244199415,x
n,3,n3,1407.7,ProportionVeronica officinalis,ProportionZDensityDipteraTOTAL,0.245136187,x
n,3,n3,1407.7,ProportionVeronica teucrium,ProportionZDensityDipteraTOTAL,0.245136187,x
n,2,n2,1405.5,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.245440053,x
i,5,i5,684.5,ProportionSedum sp# yellow,ProportionZDensityDipteraTOTAL,0.246081433,x
a,1,a1,1020.6,ProportionCarduus nutans,ProportionZDensityDipteraTOTAL,0.246404717,x
n,2,n2,1405.5,ProportionPolygala alpestris,ProportionZDensityDipteraTOTAL,0.248136165,x
i,1,i1,766.3,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.248589249,x
i,1,i1,766.3,ProportionStachys officinalis,ProportionZDensityDipteraTOTAL,0.248589249,x
a,5,a5,1001,ProportionTrifolium campestre,ProportionZDensityDipteraTOTAL,0.253693624,x
i,7,i7,648.5,ProportionStachys recta,ProportionZDensityDipteraTOTAL,0.254736842,x
u,2,u2,1749.2,ProportionVeronica officinalis,ProportionZDensityDipteraTOTAL,0.255152908,x
a,4,a4,1002.8,ProportionParnassia palustris,ProportionZDensityDipteraTOTAL,0.255408364,x
a,4,a4,1002.8,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.255408364,x
o,4,o4,1576.2,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.256540395,x
i,7,i7,648.5,ProportionAster amellus,ProportionZDensityDipteraTOTAL,0.258304094,x
i,3,i3,711.5,ProportionPeucedanum sp#,ProportionZDensityDipteraTOTAL,0.258568637,x
i,7,i7,648.5,ProportionAchillea millefolium,ProportionZDensityDipteraTOTAL,0.258947368,x
a,5,a5,1001,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.258998894,x
i,7,i7,648.5,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.259473684,x
a,5,a5,1001,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.259646505,x
a,3,a3,949.8,ProportionSedum sp# yellow,ProportionZDensityDipteraTOTAL,0.260301508,x
i,4,i4,702.4,ProportionPrunella sp#,ProportionZDensityDipteraTOTAL,0.260568858,x
