Meadow,Site,MS,Elevation,Species1,Species2,Schoener,OverallVsPlants
i,1,i1,766.3,ProportionRubus sp#,ProportionZInsectDensity,0.046747818,x
a,5,a5,1001,ProportionPeucedanum sp#,ProportionZInsectDensity,0.049652433,x
n,1,n1,1390.3,ProportionOrchis ustulata,ProportionZInsectDensity,0.04995718,x
n,1,n1,1390.3,ProportionVeronica teucrium,ProportionZInsectDensity,0.054120278,x
i,3,i3,711.5,ProportionAsperula cynanchica,ProportionZInsectDensity,0.055857006,x
n,3,n3,1407.7,ProportionVeronica officinalis,ProportionZInsectDensity,0.057220708,x
n,3,n3,1407.7,ProportionVeronica teucrium,ProportionZInsectDensity,0.057220708,x
a,2,a2,984.9,ProportionPlantago major,ProportionZInsectDensity,0.059100546,x
a,2,a2,984.9,ProportionPlanthera bifolia,ProportionZInsectDensity,0.059100546,x
a,2,a2,984.9,ProportionRubus sp#,ProportionZInsectDensity,0.059100546,x
a,2,a2,984.9,ProportionTrifolium repens,ProportionZInsectDensity,0.059100546,x
a,2,a2,984.9,ProportionVincetoxicum hirundinaria,ProportionZInsectDensity,0.059100546,x
i,5,i5,684.5,ProportionRumex sp#,ProportionZInsectDensity,0.061704472,x
i,4,i4,702.4,ProportionChenopodium sp#,ProportionZInsectDensity,0.062305296,x
i,4,i4,702.4,ProportionPolygonum aviculare,ProportionZInsectDensity,0.062305296,x
i,3,i3,711.5,ProportionChenopodium sp#,ProportionZInsectDensity,0.063836578,x
n,1,n1,1390.3,ProportionPeucedanum sp#,ProportionZInsectDensity,0.064944333,x
i,5,i5,684.5,ProportionOnobrychis vicifolia,ProportionZInsectDensity,0.066491888,x
i,5,i5,684.5,ProportionTaraxacum sp#,ProportionZInsectDensity,0.066491888,x
n,5,n5,1398.6,ProportionSolanum dulgamara,ProportionZInsectDensity,0.067054206,x
n,2,n2,1405.5,ProportionApiaceae sp#,ProportionZInsectDensity,0.069306931,x
n,2,n2,1405.5,ProportionSilene dioica,ProportionZInsectDensity,0.069306931,x
n,2,n2,1405.5,ProportionVeronica teucrium,ProportionZInsectDensity,0.069306931,x
a,4,a4,1002.8,ProportionCentaurium sp#,ProportionZInsectDensity,0.071221012,x
a,4,a4,1002.8,ProportionPeucedanum sp#,ProportionZInsectDensity,0.071221012,x
a,2,a2,984.9,ProportionHippocrepis comosa,ProportionZInsectDensity,0.072234001,x
a,1,a1,1020.6,ProportionGeranium sp#,ProportionZInsectDensity,0.072677353,x
a,1,a1,1020.6,ProportionTaraxacum sp#,ProportionZInsectDensity,0.072677353,x
i,4,i4,702.4,ProportionGeranium sp#,ProportionZInsectDensity,0.072689512,x
i,4,i4,702.4,ProportionMalva neglecta,ProportionZInsectDensity,0.072689512,x
a,4,a4,1002.8,ProportionRubus sp#,ProportionZInsectDensity,0.074400675,x
a,3,a3,949.8,ProportionTaraxacum sp#,ProportionZInsectDensity,0.075528701,x
a,4,a4,1002.8,ProportionAnthyllis vulneraria,ProportionZInsectDensity,0.078264848,x
i,3,i3,711.5,ProportionAnthyllis vulneraria,ProportionZInsectDensity,0.080682342,x
a,2,a2,984.9,ProportionClinopodium vulgare,ProportionZInsectDensity,0.081263251,x
i,7,i7,648.5,ProportionChenopodium sp#,ProportionZInsectDensity,0.084745763,x
i,7,i7,648.5,ProportionOriganum vulgare,ProportionZInsectDensity,0.084745763,x
i,7,i7,648.5,ProportionPastinaca sativa,ProportionZInsectDensity,0.084745763,x
i,7,i7,648.5,ProportionPolygonum aviculare,ProportionZInsectDensity,0.084745763,x
i,7,i7,648.5,ProportionSolanum dulgamara,ProportionZInsectDensity,0.084745763,x
i,7,i7,648.5,ProportionTrifolium repens,ProportionZInsectDensity,0.084745763,x
a,5,a5,1001,ProportionTrifolium campestre,ProportionZInsectDensity,0.08490566,x
i,6,i6,702.2,ProportionHypericum sp#,ProportionZInsectDensity,0.086333775,x
i,6,i6,702.2,ProportionSanguisorba minor,ProportionZInsectDensity,0.086333775,x
i,6,i6,702.2,ProportionVicia sepium,ProportionZInsectDensity,0.086333775,x
i,4,i4,702.4,ProportionPotentilla erecta,ProportionZInsectDensity,0.087227414,x
i,4,i4,702.4,ProportionPotentilla sp#,ProportionZInsectDensity,0.087227414,x
a,6,a6,981.9,ProportionRubus sp#,ProportionZInsectDensity,0.087417219,x
a,6,a6,981.9,ProportionVicia sepium,ProportionZInsectDensity,0.087417219,x
o,3,o3,1612.7,ProportionCarlina acaulis,ProportionZInsectDensity,0.088287666,x
o,3,o3,1612.7,ProportionCentaurea sp#,ProportionZInsectDensity,0.088287666,x
o,3,o3,1612.7,ProportionPotentilla sp#,ProportionZInsectDensity,0.088287666,x
i,3,i3,711.5,ProportionGalium sp#,ProportionZInsectDensity,0.08937121,x
i,3,i3,711.5,ProportionStachys recta,ProportionZInsectDensity,0.08937121,x
o,4,o4,1576.2,ProportionCampanula glomerata,ProportionZInsectDensity,0.089758933,x
n,1,n1,1390.3,ProportionCirsium arvense,ProportionZInsectDensity,0.092777619,x
n,1,n1,1390.3,ProportionTeurium montanum,ProportionZInsectDensity,0.092777619,x
i,5,i5,684.5,ProportionPotentilla sp#,ProportionZInsectDensity,0.093088643,x
i,1,i1,766.3,ProportionVeronica teucrium,ProportionZInsectDensity,0.093148416,x
n,4,n4,1420,ProportionHippocrepis comosa,ProportionZInsectDensity,0.094302342,x
i,5,i5,684.5,ProportionApiaceae sp#,ProportionZInsectDensity,0.095748319,x
i,1,i1,766.3,ProportionVicia sepium,ProportionZInsectDensity,0.097823087,x
i,7,i7,648.5,ProportionArabis/Arabidopsis,ProportionZInsectDensity,0.098305085,x
i,1,i1,766.3,ProportionGeranium sp#,ProportionZInsectDensity,0.098737321,x
i,1,i1,766.3,ProportionStachys officinalis,ProportionZInsectDensity,0.098737321,x
i,6,i6,702.2,ProportionOrchis ustulata,ProportionZInsectDensity,0.098996062,x
n,2,n2,1405.5,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.099009901,x
n,2,n2,1405.5,ProportionLathyrus pratensis,ProportionZInsectDensity,0.099009901,x
n,2,n2,1405.5,ProportionPeucedanum sp#,ProportionZInsectDensity,0.099009901,x
o,3,o3,1612.7,ProportionOrchis ustulata,ProportionZInsectDensity,0.099323625,x
o,3,o3,1612.7,ProportionPeucedanum sp#,ProportionZInsectDensity,0.099323625,x
i,7,i7,648.5,ProportionHypericum sp#,ProportionZInsectDensity,0.101694915,x
a,1,a1,1020.6,ProportionMedicago minima,ProportionZInsectDensity,0.101748294,x
i,6,i6,702.2,ProportionVeronica teucrium,ProportionZInsectDensity,0.10360053,x
i,7,i7,648.5,ProportionClinopodium vulgare,ProportionZInsectDensity,0.104353606,x
i,2,i2,737.4,ProportionArabis/Arabidopsis,ProportionZInsectDensity,0.104874534,x
o,4,o4,1576.2,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.10771072,x
o,4,o4,1576.2,ProportionPlantago major,ProportionZInsectDensity,0.10771072,x
i,2,i2,737.4,ProportionSilene vulgaris,ProportionZInsectDensity,0.108050665,x
a,2,a2,984.9,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,0.108351001,x
a,2,a2,984.9,ProportionCarlina acaulis,ProportionZInsectDensity,0.108351001,x
a,2,a2,984.9,ProportionCirsium acaule,ProportionZInsectDensity,0.108351001,x
a,4,a4,1002.8,ProportionPolygonum aviculare,ProportionZInsectDensity,0.109570788,x
i,6,i6,702.2,ProportionPotentilla erecta,ProportionZInsectDensity,0.109649963,x
i,6,i6,702.2,ProportionGalium sp#,ProportionZInsectDensity,0.109816561,x
i,1,i1,766.3,ProportionOdontites luteus,ProportionZInsectDensity,0.1117781,x
i,1,i1,766.3,ProportionVeronica chamaedris,ProportionZInsectDensity,0.1117781,x
i,1,i1,766.3,ProportionViola sp#,ProportionZInsectDensity,0.1117781,x
i,2,i2,737.4,ProportionTaraxacum sp#,ProportionZInsectDensity,0.112450292,x
a,4,a4,1002.8,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.113363622,x
o,3,o3,1612.7,ProportionCerastium sp#,ProportionZInsectDensity,0.113512714,x
o,3,o3,1612.7,ProportionMelampyrum sylvaticum,ProportionZInsectDensity,0.113512714,x
n,3,n3,1407.7,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.114441417,x
a,6,a6,981.9,ProportionOrchis ustulata,ProportionZInsectDensity,0.117399157,x
a,3,a3,949.8,ProportionSolanum dulgamara,ProportionZInsectDensity,0.117824773,x
i,2,i2,737.4,ProportionChenopodium sp#,ProportionZInsectDensity,0.118476606,x
i,2,i2,737.4,ProportionOdontites luteus,ProportionZInsectDensity,0.118476606,x
i,2,i2,737.4,ProportionPulsatilla sp#,ProportionZInsectDensity,0.118476606,x
a,6,a6,981.9,ProportionAnthericum ramosum,ProportionZInsectDensity,0.119205298,x
o,4,o4,1576.2,ProportionAsperula cynanchica,ProportionZInsectDensity,0.119678578,x
o,4,o4,1576.2,ProportionCerastium sp#,ProportionZInsectDensity,0.119678578,x
a,1,a1,1020.6,ProportionAnthyllis vulneraria,ProportionZInsectDensity,0.120402148,x
a,1,a1,1020.6,ProportionTrifolium campestre,ProportionZInsectDensity,0.120402148,x
a,3,a3,949.8,ProportionPotentilla sp#,ProportionZInsectDensity,0.120845921,x
u,2,u2,1749.2,ProportionRhinanthus minor,ProportionZInsectDensity,0.121304544,x
n,5,n5,1398.6,ProportionTaraxacum sp#,ProportionZInsectDensity,0.121858124,x
i,1,i1,766.3,ProportionEchium vulgare,ProportionZInsectDensity,0.12295591,x
n,5,n5,1398.6,ProportionDaucus carota,ProportionZInsectDensity,0.123111521,x
n,5,n5,1398.6,ProportionValeriana,ProportionZInsectDensity,0.123111521,x
n,4,n4,1420,ProportionCarlina acaulis,ProportionZInsectDensity,0.125736456,x
n,4,n4,1420,ProportionGentiana sp#,ProportionZInsectDensity,0.125736456,x
n,4,n4,1420,ProportionGeranium pusillum,ProportionZInsectDensity,0.125736456,x
n,4,n4,1420,ProportionSilene nutans,ProportionZInsectDensity,0.125736456,x
n,4,n4,1420,ProportionViola sp#,ProportionZInsectDensity,0.125736456,x
i,6,i6,702.2,ProportionAllium carinatum,ProportionZInsectDensity,0.126910649,x
i,7,i7,648.5,ProportionGalium sp#,ProportionZInsectDensity,0.127118644,x
i,7,i7,648.5,ProportionPulsatilla sp#,ProportionZInsectDensity,0.127118644,x
a,1,a1,1020.6,ProportionConyza sp#,ProportionZInsectDensity,0.127185368,x
a,1,a1,1020.6,ProportionGalium sp#,ProportionZInsectDensity,0.127185368,x
a,1,a1,1020.6,ProportionPolygonum aviculare,ProportionZInsectDensity,0.127185368,x
a,1,a1,1020.6,ProportionVicia sepium,ProportionZInsectDensity,0.127185368,x
i,5,i5,684.5,ProportionOrchis ustulata,ProportionZInsectDensity,0.12819636,x
i,5,i5,684.5,ProportionVerbena officinalis,ProportionZInsectDensity,0.12819636,x
u,1,u1,1745.8,ProportionLamium album,ProportionZInsectDensity,0.129254632,x
u,1,u1,1745.8,ProportionSilene nutans,ProportionZInsectDensity,0.129254632,x
i,6,i6,702.2,ProportionGeranium sp#,ProportionZInsectDensity,0.129500662,x
n,1,n1,1390.3,ProportionVicia cracca,ProportionZInsectDensity,0.129888667,x
a,2,a2,984.9,ProportionLathyrus pratensis,ProportionZInsectDensity,0.131334547,x
o,3,o3,1612.7,ProportionCampanula glomerata,ProportionZInsectDensity,0.1324315,x
i,5,i5,684.5,ProportionPolygala vulgaris,ProportionZInsectDensity,0.132983776,x
i,5,i5,684.5,ProportionSpiranthes spiralis,ProportionZInsectDensity,0.132983776,x
o,4,o4,1576.2,ProportionMedicago sativa,ProportionZInsectDensity,0.1346384,x
o,4,o4,1576.2,ProportionTeurium montanum,ProportionZInsectDensity,0.1346384,x
u,2,u2,1749.2,ProportionCuscuta europaeae,ProportionZInsectDensity,0.136467612,x
u,2,u2,1749.2,ProportionTrifolium campestre,ProportionZInsectDensity,0.136467612,x
n,2,n2,1405.5,ProportionAsperula cynanchica,ProportionZInsectDensity,0.138613861,x
n,2,n2,1405.5,ProportionCarlina acaulis,ProportionZInsectDensity,0.138613861,x
n,2,n2,1405.5,ProportionDaucus carota,ProportionZInsectDensity,0.138613861,x
n,2,n2,1405.5,ProportionPolygala alpestris,ProportionZInsectDensity,0.138613861,x
n,2,n2,1405.5,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.138613861,x
i,3,i3,711.5,ProportionLathyrus pratensis,ProportionZInsectDensity,0.139021882,x
i,1,i1,766.3,ProportionAllium carinatum,ProportionZInsectDensity,0.139722625,x
o,4,o4,1576.2,ProportionCentaurea sp#,ProportionZInsectDensity,0.140023936,x
a,1,a1,1020.6,ProportionRosa sp#,ProportionZInsectDensity,0.142548335,x
a,3,a3,949.8,ProportionTeurium montanum,ProportionZInsectDensity,0.143504532,x
i,2,i2,737.4,ProportionPotentilla sp#,ProportionZInsectDensity,0.145331304,x
i,4,i4,702.4,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.145379024,x
i,4,i4,702.4,ProportionOdontites luteus,ProportionZInsectDensity,0.145379024,x
i,4,i4,702.4,ProportionSenecio sp#,ProportionZInsectDensity,0.145379024,x
i,7,i7,648.5,ProportionVicia cracca,ProportionZInsectDensity,0.147245763,x
a,4,a4,1002.8,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.14948586,x
a,4,a4,1002.8,ProportionGalium sp#,ProportionZInsectDensity,0.14948586,x
a,4,a4,1002.8,ProportionSedum sp# yellow,ProportionZInsectDensity,0.14948586,x
n,5,n5,1398.6,ProportionEpilobium sp#,ProportionZInsectDensity,0.150871963,x
n,5,n5,1398.6,ProportionOrchis ustulata,ProportionZInsectDensity,0.150871963,x
n,3,n3,1407.7,ProportionAllium carinatum,ProportionZInsectDensity,0.152588556,x
n,3,n3,1407.7,ProportionGentiana sp#,ProportionZInsectDensity,0.152588556,x
i,2,i2,737.4,ProportionSanguisorba minor,ProportionZInsectDensity,0.15350521,x
i,1,i1,766.3,ProportionPotentilla erecta,ProportionZInsectDensity,0.154212378,x
i,5,i5,684.5,ProportionGeranium sp#,ProportionZInsectDensity,0.154793115,x
u,2,u2,1749.2,ProportionPhyteuma orbiculare,ProportionZInsectDensity,0.155962985,x
n,1,n1,1390.3,ProportionCrepis sp# 2,ProportionZInsectDensity,0.157721953,x
a,1,a1,1020.6,ProportionLotus maritimus,ProportionZInsectDensity,0.158275124,x
a,6,a6,981.9,ProportionClinopodium vulgare,ProportionZInsectDensity,0.158940397,x
n,5,n5,1398.6,ProportionAllium carinatum,ProportionZInsectDensity,0.15992428,x
a,2,a2,984.9,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.160237295,x
o,3,o3,1612.7,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.16052303,x
n,1,n1,1390.3,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.162360834,x
a,2,a2,984.9,ProportionCarum carvi,ProportionZInsectDensity,0.162526501,x
n,4,n4,1420,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,0.162954447,x
a,1,a1,1020.6,ProportionCerastium sp#,ProportionZInsectDensity,0.163586444,x
a,2,a2,984.9,ProportionTeurium montanum,ProportionZInsectDensity,0.165106287,x
i,4,i4,702.4,ProportionPrunella sp#,ProportionZInsectDensity,0.165926153,x
i,6,i6,702.2,ProportionCerastium sp#,ProportionZInsectDensity,0.169173772,x
i,7,i7,648.5,ProportionViola sp#,ProportionZInsectDensity,0.169491525,x
i,6,i6,702.2,ProportionEuphorbia cyparissias,ProportionZInsectDensity,0.172174213,x
i,6,i6,702.2,ProportionPolygonum aviculare,ProportionZInsectDensity,0.172667549,x
i,6,i6,702.2,ProportionStachys recta,ProportionZInsectDensity,0.172667549,x
n,2,n2,1405.5,ProportionPolygonum aviculare,ProportionZInsectDensity,0.173267327,x
n,2,n2,1405.5,ProportionSilene nutans,ProportionZInsectDensity,0.173267327,x
n,2,n2,1405.5,ProportionVicia cracca,ProportionZInsectDensity,0.173267327,x
a,1,a1,1020.6,ProportionLathyrus pratensis,ProportionZInsectDensity,0.174425647,x
a,1,a1,1020.6,ProportionOrchis ustulata,ProportionZInsectDensity,0.174425647,x
a,5,a5,1001,ProportionRubus sp#,ProportionZInsectDensity,0.175597739,x
o,4,o4,1576.2,ProportionVeronica officinalis,ProportionZInsectDensity,0.176282351,x
o,3,o3,1612.7,ProportionViola sp#,ProportionZInsectDensity,0.176575333,x
i,1,i1,766.3,ProportionSanguisorba minor,ProportionZInsectDensity,0.176759662,x
a,3,a3,949.8,ProportionRosa sp#,ProportionZInsectDensity,0.179147651,x
i,5,i5,684.5,ProportionTrifolium campestre,ProportionZInsectDensity,0.179351531,x
u,1,u1,1745.8,ProportionPhyteuma orbiculare,ProportionZInsectDensity,0.180956484,x
u,1,u1,1745.8,ProportionPlantago major,ProportionZInsectDensity,0.180956484,x
i,3,i3,711.5,ProportionGeranium pusillum,ProportionZInsectDensity,0.182500143,x
a,4,a4,1002.8,ProportionGeranium sp#,ProportionZInsectDensity,0.182617979,x
a,4,a4,1002.8,ProportionMelampyrum sylvaticum,ProportionZInsectDensity,0.182617979,x
i,6,i6,702.2,ProportionHippocrepis comosa,ProportionZInsectDensity,0.18507608,x
a,2,a2,984.9,ProportionPolygala vulgaris,ProportionZInsectDensity,0.185280212,x
a,5,a5,1001,ProportionTeurium montanum,ProportionZInsectDensity,0.185446969,x
i,7,i7,648.5,ProportionCirsium arvense,ProportionZInsectDensity,0.186440678,x
i,7,i7,648.5,ProportionSilene vulgaris,ProportionZInsectDensity,0.186440678,x
a,4,a4,1002.8,ProportionPolygala comosa,ProportionZInsectDensity,0.187835636,x
n,4,n4,1420,ProportionEpilobium sp#,ProportionZInsectDensity,0.188604685,x
a,3,a3,949.8,ProportionOrchis ustulata,ProportionZInsectDensity,0.193353474,x
i,3,i3,711.5,ProportionCuscuta europaeae,ProportionZInsectDensity,0.194271361,x
i,4,i4,702.4,ProportionDianthus sp#,ProportionZInsectDensity,0.196261682,x
n,1,n1,1390.3,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.196855077,x
i,3,i3,711.5,ProportionSilene vulgaris,ProportionZInsectDensity,0.197845411,x
i,5,i5,684.5,ProportionCrepis sp#,ProportionZInsectDensity,0.200235571,x
n,4,n4,1420,ProportionSolanum dulgamara,ProportionZInsectDensity,0.202076448,x
n,4,n4,1420,ProportionVeronica officinalis,ProportionZInsectDensity,0.202076448,x
a,2,a2,984.9,ProportionSanguisorba minor,ProportionZInsectDensity,0.202763118,x
i,1,i1,766.3,ProportionEuphorbia cyparissias,ProportionZInsectDensity,0.204926516,x
n,1,n1,1390.3,ProportionApiaceae sp#,ProportionZInsectDensity,0.207679132,x
o,4,o4,1576.2,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.209437511,x
o,4,o4,1576.2,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.209437511,x
o,4,o4,1576.2,ProportionTaraxacum sp#,ProportionZInsectDensity,0.209437511,x
n,3,n3,1407.7,ProportionApiaceae sp#,ProportionZInsectDensity,0.209809264,x
n,3,n3,1407.7,ProportionAsperula cynanchica,ProportionZInsectDensity,0.209809264,x
i,1,i1,766.3,ProportionCerastium sp#,ProportionZInsectDensity,0.210515421,x
a,3,a3,949.8,ProportionCarum carvi,ProportionZInsectDensity,0.210634441,x
i,6,i6,702.2,ProportionAcinos alpinus,ProportionZInsectDensity,0.213244423,x
i,3,i3,711.5,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.215520872,x
n,2,n2,1405.5,ProportionHieracium pilosella,ProportionZInsectDensity,0.215648394,x
i,5,i5,684.5,ProportionArabis/Arabidopsis,ProportionZInsectDensity,0.215895661,x
n,1,n1,1390.3,ProportionCampanula glomerata,ProportionZInsectDensity,0.216481111,x
n,1,n1,1390.3,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.216481111,x
n,1,n1,1390.3,ProportionRubus sp#,ProportionZInsectDensity,0.219657876,x
i,1,i1,766.3,ProportionGalium sp#,ProportionZInsectDensity,0.221693231,x
a,5,a5,1001,ProportionPotentilla sp#,ProportionZInsectDensity,0.222503451,x
a,2,a2,984.9,ProportionCampanula sp#,ProportionZInsectDensity,0.222893488,x
a,2,a2,984.9,ProportionHypericum sp#,ProportionZInsectDensity,0.222893488,x
i,3,i3,711.5,ProportionVeronica chamaedris,ProportionZInsectDensity,0.224825336,x
i,7,i7,648.5,ProportionMedicago lupulina,ProportionZInsectDensity,0.225423729,x
a,6,a6,981.9,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.225695364,x
u,1,u1,1745.8,ProportionCarlina acaulis,ProportionZInsectDensity,0.226195605,x
u,1,u1,1745.8,ProportionGentiana sp#,ProportionZInsectDensity,0.226195605,x
u,1,u1,1745.8,ProportionVicia cracca,ProportionZInsectDensity,0.226195605,x
n,5,n5,1398.6,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.226307944,x
i,2,i2,737.4,ProportionSedum sp# yellow,ProportionZInsectDensity,0.226527271,x
i,5,i5,684.5,ProportionCarum carvi,ProportionZInsectDensity,0.226832326,x
a,4,a4,1002.8,ProportionOrchis ustulata,ProportionZInsectDensity,0.227750708,x
n,1,n1,1390.3,ProportionAnthyllis vulneraria,ProportionZInsectDensity,0.229469978,x
n,1,n1,1390.3,ProportionCarlina acaulis,ProportionZInsectDensity,0.229469978,x
i,2,i2,737.4,ProportionParnassia palustris,ProportionZInsectDensity,0.229587717,x
o,4,o4,1576.2,ProportionCarlina acaulis,ProportionZInsectDensity,0.230933027,x
u,2,u2,1749.2,ProportionGentiana sp#,ProportionZInsectDensity,0.231449069,x
i,4,i4,702.4,ProportionTrifolium campestre,ProportionZInsectDensity,0.232606438,x
i,7,i7,648.5,ProportionGlobularia nudicaulis,ProportionZInsectDensity,0.233757062,x
n,5,n5,1398.6,ProportionTrifolium pratense,ProportionZInsectDensity,0.235379005,x
n,2,n2,1405.5,ProportionTaraxacum sp#,ProportionZInsectDensity,0.235973597,x
a,5,a5,1001,ProportionOrchis ustulata,ProportionZInsectDensity,0.236047666,x
i,2,i2,737.4,ProportionCarlina vulgaris,ProportionZInsectDensity,0.236953213,x
n,3,n3,1407.7,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.237057221,x
a,2,a2,984.9,ProportionParnassia palustris,ProportionZInsectDensity,0.238372202,x
a,6,a6,981.9,ProportionCarlina vulgaris,ProportionZInsectDensity,0.238410596,x
a,6,a6,981.9,ProportionPolygonum aviculare,ProportionZInsectDensity,0.238410596,x
i,1,i1,766.3,ProportionTeurium montanum,ProportionZInsectDensity,0.238459946,x
a,3,a3,949.8,ProportionLathyrus pratensis,ProportionZInsectDensity,0.239189955,x
i,2,i2,737.4,ProportionAster amellus,ProportionZInsectDensity,0.240511931,x
u,1,u1,1745.8,ProportionLotus corniculatus,ProportionZInsectDensity,0.243271901,x
i,3,i3,711.5,ProportionPlantago media,ProportionZInsectDensity,0.24430972,x
a,4,a4,1002.8,ProportionLathyrus pratensis,ProportionZInsectDensity,0.244931515,x
a,5,a5,1001,ProportionRosa sp#,ProportionZInsectDensity,0.246110559,x
i,4,i4,702.4,ProportionAsperula cynanchica,ProportionZInsectDensity,0.247144341,x
i,3,i3,711.5,ProportionVerbena officinalis,ProportionZInsectDensity,0.247260347,x
i,1,i1,766.3,ProportionPlantago media,ProportionZInsectDensity,0.247360795,x
a,1,a1,1020.6,ProportionCarduus nutans,ProportionZInsectDensity,0.247587516,x
i,5,i5,684.5,ProportionSedum sp# yellow,ProportionZInsectDensity,0.248637017,x
a,6,a6,981.9,ProportionOdontites luteus,ProportionZInsectDensity,0.250756275,x
n,5,n5,1398.6,ProportionPotentilla sp#,ProportionZInsectDensity,0.250871963,x
a,6,a6,981.9,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,0.251125828,x
i,1,i1,766.3,ProportionAster amellus,ProportionZInsectDensity,0.251500724,x
a,5,a5,1001,ProportionVicia sepium,ProportionZInsectDensity,0.251572327,x
i,6,i6,702.2,ProportionAnthyllis vulneraria,ProportionZInsectDensity,0.251878629,x
u,2,u2,1749.2,ProportionVeronica officinalis,ProportionZInsectDensity,0.255962985,x
n,4,n4,1420,ProportionMelampyrum sylvaticum,ProportionZInsectDensity,0.25725679,x
i,3,i3,711.5,ProportionCerastium sp#,ProportionZInsectDensity,0.257385737,x
n,5,n5,1398.6,ProportionAsperula cynanchica,ProportionZInsectDensity,0.25801482,x
i,6,i6,702.2,ProportionPlantago lanceolata,ProportionZInsectDensity,0.259735654,x
a,3,a3,949.8,ProportionCarlina acaulis,ProportionZInsectDensity,0.264350453,x
a,3,a3,949.8,ProportionPolygonum aviculare,ProportionZInsectDensity,0.264350453,x
i,5,i5,684.5,ProportionCarlina acaulis,ProportionZInsectDensity,0.265967552,x
n,3,n3,1407.7,ProportionPimpinella sp#,ProportionZInsectDensity,0.267029973,x
a,1,a1,1020.6,ProportionStachys officinalis,ProportionZInsectDensity,0.267089272,x
i,6,i6,702.2,ProportionRubus sp#,ProportionZInsectDensity,0.268769922,x
a,3,a3,949.8,ProportionAnthericum ramosum,ProportionZInsectDensity,0.270392749,x
a,3,a3,949.8,ProportionGeranium pusillum,ProportionZInsectDensity,0.270845921,x
i,7,i7,648.5,ProportionCarlina acaulis,ProportionZInsectDensity,0.271186441,x
i,2,i2,737.4,ProportionLotus maritimus,ProportionZInsectDensity,0.271541201,x
i,3,i3,711.5,ProportionTaraxacum sp#,ProportionZInsectDensity,0.274825336,x
i,7,i7,648.5,ProportionPolygala comosa,ProportionZInsectDensity,0.275423729,x
a,2,a2,984.9,ProportionLigustrum vulgare,ProportionZInsectDensity,0.27649185,x
a,4,a4,1002.8,ProportionCarlina acaulis,ProportionZInsectDensity,0.278792336,x
