ID,Meadow,Site,MS,Elevation,Species1,Species2,Schoener,ColeopteraVsPlants
630696,n,2,n2,1405.5,ProportionSilene dioica,ProportionZDensityColeopteraTOTAL,0.021341463,x
630725,n,2,n2,1405.5,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0.021341463,x
163807,a,4,a4,1002.8,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.022151,x
163890,a,4,a4,1002.8,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0.022151,x
163927,a,4,a4,1002.8,ProportionVeronica sp#,ProportionZDensityColeopteraTOTAL,0.022151,x
248763,a,6,a6,981.9,ProportionRubus sp#,ProportionZDensityColeopteraTOTAL,0.029493088,x
248803,a,6,a6,981.9,ProportionVicia sepium,ProportionZDensityColeopteraTOTAL,0.029493088,x
503407,i,6,i6,702.2,ProportionTrifolium repens,ProportionZDensityColeopteraTOTAL,0.029768233,x
163805,a,4,a4,1002.8,ProportionCentaurium sp#,ProportionZDensityColeopteraTOTAL,0.037973143,x
163870,a,4,a4,1002.8,ProportionPeucedanum sp#,ProportionZDensityColeopteraTOTAL,0.037973143,x
375964,i,3,i3,711.5,ProportionAnthyllis vulneraria,ProportionZDensityColeopteraTOTAL,0.039393466,x
375969,i,3,i3,711.5,ProportionAsperula cynanchica,ProportionZDensityColeopteraTOTAL,0.039393466,x
545790,i,7,i7,648.5,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.040618956,x
545807,i,7,i7,648.5,ProportionPotentilla sp#,ProportionZDensityColeopteraTOTAL,0.040618956,x
588226,n,1,n1,1390.3,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.041035662,x
800344,o,3,o3,1612.7,ProportionCentaurea sp#,ProportionZDensityColeopteraTOTAL,0.041471986,x
630581,n,2,n2,1405.5,ProportionApiaceae sp#,ProportionZDensityColeopteraTOTAL,0.042682927,x
588289,n,1,n1,1390.3,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0.0444553,x
291237,i,1,i1,766.3,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0.04556962,x
36526,a,1,a1,1020.6,ProportionGeranium sp#,ProportionZDensityColeopteraTOTAL,0.045887152,x
36601,a,1,a1,1020.6,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.045887152,x
206277,a,5,a5,1001,ProportionHippocrepis comosa,ProportionZDensityColeopteraTOTAL,0.046728972,x
206284,a,5,a5,1001,ProportionLigustrum vulgare,ProportionZDensityColeopteraTOTAL,0.046728972,x
206315,a,5,a5,1001,ProportionPolygala comosa,ProportionZDensityColeopteraTOTAL,0.046728972,x
121447,a,3,a3,949.8,ProportionPotentilla sp#,ProportionZDensityColeopteraTOTAL,0.047337278,x
78940,a,2,a2,984.9,ProportionClinopodium vulgare,ProportionZDensityColeopteraTOTAL,0.047782361,x
78969,a,2,a2,984.9,ProportionHippocrepis comosa,ProportionZDensityColeopteraTOTAL,0.047782361,x
503330,i,6,i6,702.2,ProportionHypericum sp#,ProportionZDensityColeopteraTOTAL,0.050233893,x
503383,i,6,i6,702.2,ProportionSanguisorba minor,ProportionZDensityColeopteraTOTAL,0.050233893,x
503419,i,6,i6,702.2,ProportionVicia sepium,ProportionZDensityColeopteraTOTAL,0.050233893,x
842772,o,4,o4,1576.2,ProportionCampanula glomerata,ProportionZDensityColeopteraTOTAL,0.050564165,x
291199,i,1,i1,766.3,ProportionRubus sp#,ProportionZDensityColeopteraTOTAL,0.052511229,x
163891,a,4,a4,1002.8,ProportionRubus sp#,ProportionZDensityColeopteraTOTAL,0.054409065,x
375988,i,3,i3,711.5,ProportionChenopodium sp#,ProportionZDensityColeopteraTOTAL,0.054713147,x
758008,n,5,n5,1398.6,ProportionSolanum dulgamara,ProportionZDensityColeopteraTOTAL,0.057026807,x
503370,i,6,i6,702.2,ProportionPotentilla erecta,ProportionZDensityColeopteraTOTAL,0.057298786,x
545710,i,7,i7,648.5,ProportionArabis/Arabidopsis,ProportionZDensityColeopteraTOTAL,0.058027079,x
545732,i,7,i7,648.5,ProportionChenopodium sp#,ProportionZDensityColeopteraTOTAL,0.058027079,x
545791,i,7,i7,648.5,ProportionOriganum vulgare,ProportionZDensityColeopteraTOTAL,0.058027079,x
545793,i,7,i7,648.5,ProportionPastinaca sativa,ProportionZDensityColeopteraTOTAL,0.058027079,x
545805,i,7,i7,648.5,ProportionPolygonum aviculare,ProportionZDensityColeopteraTOTAL,0.058027079,x
545828,i,7,i7,648.5,ProportionSolanum dulgamara,ProportionZDensityColeopteraTOTAL,0.058027079,x
545843,i,7,i7,648.5,ProportionTrifolium repens,ProportionZDensityColeopteraTOTAL,0.058027079,x
800450,o,3,o3,1612.7,ProportionTeucrium chamaedris,ProportionZDensityColeopteraTOTAL,0.058437799,x
333642,i,2,i2,737.4,ProportionSedum sp# yellow,ProportionZDensityColeopteraTOTAL,0.059445178,x
163787,a,4,a4,1002.8,ProportionArenaria/Linum ym#,ProportionZDensityColeopteraTOTAL,0.060124143,x
503417,i,6,i6,702.2,ProportionVeronica teucrium,ProportionZDensityColeopteraTOTAL,0.060280672,x
78973,a,2,a2,984.9,ProportionLathyrus pratensis,ProportionZDensityColeopteraTOTAL,0.060524323,x
630614,n,2,n2,1405.5,ProportionCrepis/Hieracium,ProportionZDensityColeopteraTOTAL,0.06097561,x
630641,n,2,n2,1405.5,ProportionLathyrus pratensis,ProportionZDensityColeopteraTOTAL,0.06097561,x
630666,n,2,n2,1405.5,ProportionPeucedanum sp#,ProportionZDensityColeopteraTOTAL,0.06097561,x
800341,o,3,o3,1612.7,ProportionCarlina acaulis,ProportionZDensityColeopteraTOTAL,0.062207979,x
800423,o,3,o3,1612.7,ProportionPotentilla sp#,ProportionZDensityColeopteraTOTAL,0.062207979,x
206306,a,5,a5,1001,ProportionPeucedanum sp#,ProportionZDensityColeopteraTOTAL,0.062305296,x
206352,a,5,a5,1001,ProportionTrifolium campestre,ProportionZDensityColeopteraTOTAL,0.062305296,x
460944,i,5,i5,684.5,ProportionRumex sp#,ProportionZDensityColeopteraTOTAL,0.062361959,x
630674,n,2,n2,1405.5,ProportionPolygala alpestris,ProportionZDensityColeopteraTOTAL,0.06402439,x
333639,i,2,i2,737.4,ProportionSanguisorba minor,ProportionZDensityColeopteraTOTAL,0.065269605,x
248655,a,6,a6,981.9,ProportionAnthericum ramosum,ProportionZDensityColeopteraTOTAL,0.066359447,x
291142,i,1,i1,766.3,ProportionGeranium sp#,ProportionZDensityColeopteraTOTAL,0.06835443,x
291215,i,1,i1,766.3,ProportionStachys officinalis,ProportionZDensityColeopteraTOTAL,0.06835443,x
121468,a,3,a3,949.8,ProportionSolanum dulgamara,ProportionZDensityColeopteraTOTAL,0.069033531,x
545766,i,7,i7,648.5,ProportionHypericum sp#,ProportionZDensityColeopteraTOTAL,0.069632495,x
163784,a,4,a4,1002.8,ProportionAnthyllis vulneraria,ProportionZDensityColeopteraTOTAL,0.0708832,x
715509,n,4,n4,1420,ProportionHippocrepis comosa,ProportionZDensityColeopteraTOTAL,0.073563218,x
418450,i,4,i4,702.4,ProportionGeranium sp#,ProportionZDensityColeopteraTOTAL,0.07374027,x
418468,i,4,i4,702.4,ProportionMalva neglecta,ProportionZDensityColeopteraTOTAL,0.07374027,x
545736,i,7,i7,648.5,ProportionClinopodium vulgare,ProportionZDensityColeopteraTOTAL,0.077634922,x
121475,a,3,a3,949.8,ProportionTeurium montanum,ProportionZDensityColeopteraTOTAL,0.078895464,x
503354,i,6,i6,702.2,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.080002126,x
588230,n,1,n1,1390.3,ProportionPeucedanum sp#,ProportionZDensityColeopteraTOTAL,0.080019541,x
36476,a,1,a1,1020.6,ProportionAnthyllis vulneraria,ProportionZDensityColeopteraTOTAL,0.080302515,x
36546,a,1,a1,1020.6,ProportionMedicago minima,ProportionZDensityColeopteraTOTAL,0.080302515,x
36608,a,1,a1,1020.6,ProportionTrifolium campestre,ProportionZDensityColeopteraTOTAL,0.080302515,x
460913,i,5,i5,684.5,ProportionOnobrychis vicifolia,ProportionZDensityColeopteraTOTAL,0.081850071,x
460961,i,5,i5,684.5,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.081850071,x
503313,i,6,i6,702.2,ProportionEuphorbia cyparissias,ProportionZDensityColeopteraTOTAL,0.083723155,x
418498,i,4,i4,702.4,ProportionPotentilla erecta,ProportionZDensityColeopteraTOTAL,0.086030315,x
418499,i,4,i4,702.4,ProportionPotentilla sp#,ProportionZDensityColeopteraTOTAL,0.086030315,x
121430,a,3,a3,949.8,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.088757396,x
885256,u,1,u1,1745.8,ProportionLamium album,ProportionZDensityColeopteraTOTAL,0.088757396,x
885313,u,1,u1,1745.8,ProportionSilene nutans,ProportionZDensityColeopteraTOTAL,0.088757396,x
291168,i,1,i1,766.3,ProportionOdontites luteus,ProportionZDensityColeopteraTOTAL,0.091139241,x
291233,i,1,i1,766.3,ProportionVeronica chamaedris,ProportionZDensityColeopteraTOTAL,0.091139241,x
291241,i,1,i1,766.3,ProportionViola sp#,ProportionZDensityColeopteraTOTAL,0.091139241,x
291131,i,1,i1,766.3,ProportionEchium vulgare,ProportionZDensityColeopteraTOTAL,0.091139241,x
78923,a,2,a2,984.9,ProportionBuphthalmum salicifolium,ProportionZDensityColeopteraTOTAL,0.091742132,x
78938,a,2,a2,984.9,ProportionCirsium acaule,ProportionZDensityColeopteraTOTAL,0.091742132,x
715469,n,4,n4,1420,ProportionCarlina acaulis,ProportionZDensityColeopteraTOTAL,0.091954023,x
715498,n,4,n4,1420,ProportionGentiana sp#,ProportionZDensityColeopteraTOTAL,0.091954023,x
715500,n,4,n4,1420,ProportionGeranium pusillum,ProportionZDensityColeopteraTOTAL,0.091954023,x
715569,n,4,n4,1420,ProportionSilene nutans,ProportionZDensityColeopteraTOTAL,0.091954023,x
715601,n,4,n4,1420,ProportionViola sp#,ProportionZDensityColeopteraTOTAL,0.091954023,x
927737,u,2,u2,1749.2,ProportionRhinanthus minor,ProportionZDensityColeopteraTOTAL,0.092838196,x
78915,a,2,a2,984.9,ProportionArenaria/Linum ym#,ProportionZDensityColeopteraTOTAL,0.093983122,x
460935,i,5,i5,684.5,ProportionPotentilla sp#,ProportionZDensityColeopteraTOTAL,0.09549175,x
333530,i,2,i2,737.4,ProportionArabis/Arabidopsis,ProportionZDensityColeopteraTOTAL,0.096543373,x
673050,n,3,n3,1407.7,ProportionCrepis/Hieracium,ProportionZDensityColeopteraTOTAL,0.096774194,x
673079,n,3,n3,1407.7,ProportionLeucanthemum vulgare,ProportionZDensityColeopteraTOTAL,0.096774194,x
503316,i,6,i6,702.2,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.100467787,x
418501,i,4,i4,702.4,ProportionPrunella sp#,ProportionZDensityColeopteraTOTAL,0.102423758,x
842763,o,4,o4,1576.2,ProportionArenaria/Linum ym#,ProportionZDensityColeopteraTOTAL,0.10323517,x
842850,o,4,o4,1576.2,ProportionPlantago major,ProportionZDensityColeopteraTOTAL,0.10323517,x
291239,i,1,i1,766.3,ProportionVicia sepium,ProportionZDensityColeopteraTOTAL,0.103586498,x
800473,o,3,o3,1612.7,ProportionViola sp#,ProportionZDensityColeopteraTOTAL,0.103679966,x
36542,a,1,a1,1020.6,ProportionLotus maritimus,ProportionZDensityColeopteraTOTAL,0.104095853,x
333653,i,2,i2,737.4,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.104119131,x
545857,i,7,i7,648.5,ProportionViola sp#,ProportionZDensityColeopteraTOTAL,0.104448743,x
927668,u,2,u2,1749.2,ProportionCuscuta europaeae,ProportionZDensityColeopteraTOTAL,0.106100796,x
927719,u,2,u2,1749.2,ProportionPhyteuma orbiculare,ProportionZDensityColeopteraTOTAL,0.106100796,x
927764,u,2,u2,1749.2,ProportionTrifolium campestre,ProportionZDensityColeopteraTOTAL,0.106100796,x
758013,n,5,n5,1398.6,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.106580016,x
248738,a,6,a6,981.9,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.107498953,x
36582,a,1,a1,1020.6,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0.109814843,x
376008,i,3,i3,711.5,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.112552759,x
376025,i,3,i3,711.5,ProportionLathyrus pratensis,ProportionZDensityColeopteraTOTAL,0.112552759,x
757925,n,5,n5,1398.6,ProportionDaucus carota,ProportionZDensityColeopteraTOTAL,0.114053615,x
757928,n,5,n5,1398.6,ProportionEpilobium sp#,ProportionZDensityColeopteraTOTAL,0.114053615,x
757970,n,5,n5,1398.6,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.114053615,x
758027,n,5,n5,1398.6,ProportionValeriana,ProportionZDensityColeopteraTOTAL,0.114053615,x
588171,n,1,n1,1390.3,ProportionCirsium arvense,ProportionZDensityColeopteraTOTAL,0.11431363,x
588271,n,1,n1,1390.3,ProportionTeurium montanum,ProportionZDensityColeopteraTOTAL,0.11431363,x
78929,a,2,a2,984.9,ProportionCarlina acaulis,ProportionZDensityColeopteraTOTAL,0.114677666,x
545826,i,7,i7,648.5,ProportionSilene vulgaris,ProportionZDensityColeopteraTOTAL,0.116054159,x
545854,i,7,i7,648.5,ProportionVicia cracca,ProportionZDensityColeopteraTOTAL,0.116054159,x
545735,i,7,i7,648.5,ProportionCirsium arvense,ProportionZDensityColeopteraTOTAL,0.116054159,x
121462,a,3,a3,949.8,ProportionSedum sp# yellow,ProportionZDensityColeopteraTOTAL,0.116370809,x
503295,i,6,i6,702.2,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.116822596,x
163881,a,4,a4,1002.8,ProportionPolygonum aviculare,ProportionZDensityColeopteraTOTAL,0.118138667,x
163898,a,4,a4,1002.8,ProportionSedum sp# yellow,ProportionZDensityColeopteraTOTAL,0.119761451,x
163818,a,4,a4,1002.8,ProportionCrepis/Hieracium,ProportionZDensityColeopteraTOTAL,0.119761451,x
163828,a,4,a4,1002.8,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.119761451,x
588290,n,1,n1,1390.3,ProportionVicia cracca,ProportionZDensityColeopteraTOTAL,0.120029311,x
503268,i,6,i6,702.2,ProportionAllium carinatum,ProportionZDensityColeopteraTOTAL,0.120561344,x
79039,a,2,a2,984.9,ProportionTeurium montanum,ProportionZDensityColeopteraTOTAL,0.120759057,x
36520,a,1,a1,1020.6,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.121346023,x
121409,a,3,a3,949.8,ProportionLathyrus pratensis,ProportionZDensityColeopteraTOTAL,0.124106262,x
36623,a,1,a1,1020.6,ProportionVicia sepium,ProportionZDensityColeopteraTOTAL,0.124915024,x
36499,a,1,a1,1020.6,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.126189667,x
36537,a,1,a1,1020.6,ProportionLathyrus pratensis,ProportionZDensityColeopteraTOTAL,0.126189667,x
36558,a,1,a1,1020.6,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.126189667,x
418463,i,4,i4,702.4,ProportionLeucanthemum vulgare,ProportionZDensityColeopteraTOTAL,0.129045473,x
418515,i,4,i4,702.4,ProportionSenecio sp#,ProportionZDensityColeopteraTOTAL,0.129045473,x
79023,a,2,a2,984.9,ProportionSanguisorba minor,ProportionZDensityColeopteraTOTAL,0.131952895,x
800406,o,3,o3,1612.7,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.133302813,x
800410,o,3,o3,1612.7,ProportionPeucedanum sp#,ProportionZDensityColeopteraTOTAL,0.133302813,x
588178,n,1,n1,1390.3,ProportionCrepis/Hieracium,ProportionZDensityColeopteraTOTAL,0.133365901,x
291133,i,1,i1,766.3,ProportionEuphorbia cyparissias,ProportionZDensityColeopteraTOTAL,0.136708861,x
842765,o,4,o4,1576.2,ProportionAsperula cynanchica,ProportionZDensityColeopteraTOTAL,0.137646894,x
842783,o,4,o4,1576.2,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.137646894,x
842831,o,4,o4,1576.2,ProportionMedicago sativa,ProportionZDensityColeopteraTOTAL,0.144201508,x
842887,o,4,o4,1576.2,ProportionTeurium montanum,ProportionZDensityColeopteraTOTAL,0.144201508,x
460918,i,5,i5,684.5,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.144212031,x
460976,i,5,i5,684.5,ProportionVerbena officinalis,ProportionZDensityColeopteraTOTAL,0.144212031,x
333553,i,2,i2,737.4,ProportionCichorium intybus,ProportionZDensityColeopteraTOTAL,0.146694345,x
842780,o,4,o4,1576.2,ProportionCentaurea sp#,ProportionZDensityColeopteraTOTAL,0.147478815,x
121367,a,3,a3,949.8,ProportionCarum carvi,ProportionZDensityColeopteraTOTAL,0.147613412,x
376027,i,3,i3,711.5,ProportionLeucanthemum vulgare,ProportionZDensityColeopteraTOTAL,0.148637163,x
503322,i,6,i6,702.2,ProportionGeranium sp#,ProportionZDensityColeopteraTOTAL,0.15070168,x
376012,i,3,i3,711.5,ProportionGeranium pusillum,ProportionZDensityColeopteraTOTAL,0.151946225,x
376088,i,3,i3,711.5,ProportionStachys recta,ProportionZDensityColeopteraTOTAL,0.153196811,x
673141,n,3,n3,1407.7,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.153225806,x
376055,i,3,i3,711.5,ProportionPlantago media,ProportionZDensityColeopteraTOTAL,0.153370171,x
545752,i,7,i7,648.5,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.154738878,x
545810,i,7,i7,648.5,ProportionPulsatilla sp#,ProportionZDensityColeopteraTOTAL,0.154738878,x
885283,u,1,u1,1745.8,ProportionPhyteuma orbiculare,ProportionZDensityColeopteraTOTAL,0.155325444,x
885286,u,1,u1,1745.8,ProportionPlantago major,ProportionZDensityColeopteraTOTAL,0.155325444,x
800347,o,3,o3,1612.7,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.155519948,x
800396,o,3,o3,1612.7,ProportionMelampyrum sylvaticum,ProportionZDensityColeopteraTOTAL,0.155519948,x
460837,i,5,i5,684.5,ProportionApiaceae sp#,ProportionZDensityColeopteraTOTAL,0.156879304,x
206319,a,5,a5,1001,ProportionPotentilla sp#,ProportionZDensityColeopteraTOTAL,0.157308209,x
460886,i,5,i5,684.5,ProportionGeranium sp#,ProportionZDensityColeopteraTOTAL,0.157853709,x
333572,i,2,i2,737.4,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.158520476,x
291088,i,1,i1,766.3,ProportionAllium carinatum,ProportionZDensityColeopteraTOTAL,0.159493671,x
291115,i,1,i1,766.3,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.159493671,x
291136,i,1,i1,766.3,ProportionGalium sp#,ProportionZDensityColeopteraTOTAL,0.159493671,x
630585,n,2,n2,1405.5,ProportionAsperula cynanchica,ProportionZDensityColeopteraTOTAL,0.160060976,x
630597,n,2,n2,1405.5,ProportionCarlina acaulis,ProportionZDensityColeopteraTOTAL,0.160060976,x
630617,n,2,n2,1405.5,ProportionDaucus carota,ProportionZDensityColeopteraTOTAL,0.160060976,x
630706,n,2,n2,1405.5,ProportionTeucrium chamaedris,ProportionZDensityColeopteraTOTAL,0.160060976,x
36507,a,1,a1,1020.6,ProportionConyza sp#,ProportionZDensityColeopteraTOTAL,0.160605031,x
36573,a,1,a1,1020.6,ProportionPolygonum aviculare,ProportionZDensityColeopteraTOTAL,0.160605031,x
333604,i,2,i2,737.4,ProportionOdontites luteus,ProportionZDensityColeopteraTOTAL,0.163804491,x
715572,n,4,n4,1420,ProportionSolanum dulgamara,ProportionZDensityColeopteraTOTAL,0.165517241,x
715594,n,4,n4,1420,ProportionVeronica officinalis,ProportionZDensityColeopteraTOTAL,0.165517241,x
715492,n,4,n4,1420,ProportionEpilobium sp#,ProportionZDensityColeopteraTOTAL,0.165517241,x
121483,a,3,a3,949.8,ProportionTrifolium repens,ProportionZDensityColeopteraTOTAL,0.165914816,x
375987,i,3,i3,711.5,ProportionCerastium sp#,ProportionZDensityColeopteraTOTAL,0.166446188,x
503396,i,6,i6,702.2,ProportionStachys recta,ProportionZDensityColeopteraTOTAL,0.167446311,x
121437,a,3,a3,949.8,ProportionPlantago lanceolata,ProportionZDensityColeopteraTOTAL,0.168219104,x
842794,o,4,o4,1576.2,ProportionCrepis/Hieracium,ProportionZDensityColeopteraTOTAL,0.168547217,x
842885,o,4,o4,1576.2,ProportionTaraxacum sp#,ProportionZDensityColeopteraTOTAL,0.168547217,x
121454,a,3,a3,949.8,ProportionRosa sp#,ProportionZDensityColeopteraTOTAL,0.168660036,x
630697,n,2,n2,1405.5,ProportionSilene nutans,ProportionZDensityColeopteraTOTAL,0.170731707,x
503260,i,6,i6,702.2,ProportionAcinos alpinus,ProportionZDensityColeopteraTOTAL,0.170795237,x
376082,i,3,i3,711.5,ProportionSilene vulgaris,ProportionZDensityColeopteraTOTAL,0.171376289,x
418476,i,4,i4,702.4,ProportionOdontites luteus,ProportionZDensityColeopteraTOTAL,0.172060631,x
291203,i,1,i1,766.3,ProportionSanguisorba minor,ProportionZDensityColeopteraTOTAL,0.173745898,x
503379,i,6,i6,702.2,ProportionRubus sp#,ProportionZDensityColeopteraTOTAL,0.17377206,x
545725,i,7,i7,648.5,ProportionCarlina acaulis,ProportionZDensityColeopteraTOTAL,0.174081238,x
460968,i,5,i5,684.5,ProportionTrifolium campestre,ProportionZDensityColeopteraTOTAL,0.180009018,x
503361,i,6,i6,702.2,ProportionPlantago lanceolata,ProportionZDensityColeopteraTOTAL,0.181170566,x
460932,i,5,i5,684.5,ProportionPolygala vulgaris,ProportionZDensityColeopteraTOTAL,0.181889048,x
460958,i,5,i5,684.5,ProportionSpiranthes spiralis,ProportionZDensityColeopteraTOTAL,0.181889048,x
333552,i,2,i2,737.4,ProportionChenopodium sp#,ProportionZDensityColeopteraTOTAL,0.184940555,x
333630,i,2,i2,737.4,ProportionPulsatilla sp#,ProportionZDensityColeopteraTOTAL,0.184940555,x
376000,i,3,i3,711.5,ProportionCuscuta europaeae,ProportionZDensityColeopteraTOTAL,0.185147929,x
545695,i,7,i7,648.5,ProportionAchillea millefolium,ProportionZDensityColeopteraTOTAL,0.185686654,x
78931,a,2,a2,984.9,ProportionCarum carvi,ProportionZDensityColeopteraTOTAL,0.186351207,x
121494,a,3,a3,949.8,ProportionVicia cracca,ProportionZDensityColeopteraTOTAL,0.186390533,x
842823,o,4,o4,1576.2,ProportionLeucanthemum vulgare,ProportionZDensityColeopteraTOTAL,0.188211059,x
842902,o,4,o4,1576.2,ProportionVeronica officinalis,ProportionZDensityColeopteraTOTAL,0.188211059,x
163879,a,4,a4,1002.8,ProportionPolygala comosa,ProportionZDensityColeopteraTOTAL,0.189021867,x
630636,n,2,n2,1405.5,ProportionHieracium pilosella,ProportionZDensityColeopteraTOTAL,0.18902439,x
163866,a,4,a4,1002.8,ProportionOrchis ustulata,ProportionZDensityColeopteraTOTAL,0.190644651,x
206347,a,5,a5,1001,ProportionTeurium montanum,ProportionZDensityColeopteraTOTAL,0.190947407,x
121350,a,3,a3,949.8,ProportionArabis/Arabidopsis,ProportionZDensityColeopteraTOTAL,0.193847116,x
588177,n,1,n1,1390.3,ProportionCrepis sp# 2,ProportionZDensityColeopteraTOTAL,0.19433317,x
163834,a,4,a4,1002.8,ProportionGeranium sp#,ProportionZDensityColeopteraTOTAL,0.1949288,x
163856,a,4,a4,1002.8,ProportionMelampyrum sylvaticum,ProportionZDensityColeopteraTOTAL,0.1949288,x
206241,a,5,a5,1001,ProportionCentaurium sp#,ProportionZDensityColeopteraTOTAL,0.195223261,x
121396,a,3,a3,949.8,ProportionGeranium pusillum,ProportionZDensityColeopteraTOTAL,0.197337278,x
503272,i,6,i6,702.2,ProportionAnthyllis vulneraria,ProportionZDensityColeopteraTOTAL,0.199209997,x
588207,n,1,n1,1390.3,ProportionLeucanthemum vulgare,ProportionZDensityColeopteraTOTAL,0.199804592,x
376105,i,3,i3,711.5,ProportionVeronica chamaedris,ProportionZDensityColeopteraTOTAL,0.2,x
588156,n,1,n1,1390.3,ProportionCampanula glomerata,ProportionZDensityColeopteraTOTAL,0.200048852,x
588270,n,1,n1,1390.3,ProportionTeucrium chamaedris,ProportionZDensityColeopteraTOTAL,0.200048852,x
418438,i,4,i4,702.4,ProportionDianthus sp#,ProportionZDensityColeopteraTOTAL,0.200737403,x
248659,a,6,a6,981.9,ProportionArenaria/Linum ym#,ProportionZDensityColeopteraTOTAL,0.201843318,x
545714,i,7,i7,648.5,ProportionAster amellus,ProportionZDensityColeopteraTOTAL,0.201859016,x
503329,i,6,i6,702.2,ProportionHippocrepis comosa,ProportionZDensityColeopteraTOTAL,0.202182026,x
291183,i,1,i1,766.3,ProportionPlantago media,ProportionZDensityColeopteraTOTAL,0.202531646,x
